isbn,book_name,author,publisher,publication_date,price,stock,category_id,img_link,description,rank_num
"9788936439743","혼모노","성해나 지음","창비","2025-03-28",18000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788936439743.jpg","소설/시/희곡",25
"9791130675381","산다는 슬픔","박경리 지음","다산책방","2026-03-27",14000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791130675381.jpg","소설/시/희곡",26
"9791138934428","2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상","최태성 지음","이투스북","2025-12-09",19000,10,9,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791138934428.jpg","수험서/자격증",27
"9788917243802","ETS 토익 정기시험 기출문제집 1000 Vol. 5 Reading (리딩)","ETS 지음","(주)YBM(와이비엠)","2025-12-15",22000,10,4,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788917243802.jpg","외국어",28
"9791157848676","박태웅의 AI 강의 2026","박태웅 지음","한빛비즈","2026-03-20",23000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791157848676.jpg","경제경영",29
"9791167764119","세종의 나라 1 (양장)","김진명 지음","이타북스","2026-02-24",22000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791167764119.jpg","소설/시/희곡",30
"9788932045146","소설 보다 : 봄 2026","김채원 외 지음","문학과지성사","2026-03-10",5500,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788932045146.jpg","소설/시/희곡",31
"9788917243796","ETS 토익 정기시험 기출문제집 1000 Vol. 5 Listening (리스닝)","ETS 엮음","(주)YBM(와이비엠)","2025-12-15",22000,10,4,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788917243796.jpg","외국어",32
"9791124272169","매일 아침 나는 텃밭에 간다","강철원 지음","한즈미디어(한스미디어)","2026-03-30",18500,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791124272169.jpg","에세이",33
"9791156337560","다있소 과학 1","윤자영 지음, 노이신 그림","다른어린이","2026-03-10",14500,10,12,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791156337560.jpg","어린이",34
"9791142346590","단다단 20","타츠 유키노부 지음","대원씨아이(만화)","2026-03-20",6000,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791142346590.jpg","만화/라이트노벨",35
"9791167764126","세종의 나라 2 (양장)","김진명 지음","이타북스","2026-01-24",22000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791167764126.jpg","소설/시/희곡",36
"9791138934442","2026 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하","최태성 지음","이투스북","2025-12-09",18500,10,9,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791138934442.jpg","수험서/자격증",37
"9791198064356","숨은민국","김미영 지음","세이지","2026-01-19",20000,10,11,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791198064356.jpg","사회과학",38
"9791141615055","쥬디 할머니","박완서 지음","문학동네","2026-01-20",18500,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791141615055.jpg","소설/시/희곡",39
